timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260323200454984918,585,221,123,7
20260323200455986414,588,221,124,7
20260323200456987969,593,221,125,7
20260323200457990950,585,221,123,7
20260323200458990446,586,221,123,7
20260323200459991176,586,221,123,7
20260323200500993739,585,221,123,7
20260323200501997920,586,221,123,7
20260323200502995331,593,221,125,7
20260323200503996490,586,221,123,7
20260323200504999339,585,221,123,7
20260323200506000086,585,221,123,7
20260323200507000101,586,221,123,8
20260323200508003983,586,221,123,8
20260323200509004536,594,221,125,8
20260323200510006755,586,221,123,8
20260323200511006471,586,221,123,8
20260323200512008746,586,221,123,8
20260323200513010782,586,221,123,8
20260323200514012576,587,221,123,8
20260323200515011296,594,221,125,8
20260323200516017636,586,221,123,8
20260323200517015131,586,221,123,8
20260323200518018016,586,221,123,8
20260323200519016053,586,221,123,8
20260323200520018975,587,221,124,8
20260323200521019861,593,221,125,8
20260323200522020493,586,221,123,8
20260323200523021238,586,221,123,8
20260323200524019640,586,221,123,8
20260323200525027544,586,221,123,8
20260323200526029828,586,221,123,8
20260323200527028336,593,221,125,8
20260323200528030326,586,221,123,8
20260323200529032845,585,221,123,8
20260323200530034783,585,221,123,8
20260323200531035066,585,221,123,8
20260323200532036838,585,221,123,8
20260323200533038233,594,221,125,8
20260323200534041408,586,221,123,8
20260323200535041123,585,221,123,8
20260323200536041638,586,221,123,9
20260323200537042897,586,221,123,9
20260323200538044690,586,221,123,9
20260323200539047648,594,221,125,9
20260323200540047344,586,221,123,9
20260323200541049028,586,221,123,9
20260323200542052523,586,221,123,9
20260323200543050512,586,221,123,9
20260323200544053551,588,221,124,9
20260323200545056071,593,221,125,9
20260323200546056614,586,221,123,9
20260323200547057533,586,221,123,9
20260323200548059431,586,221,123,9
20260323200549059763,586,221,123,9
20260323200550064789,586,221,123,9
20260323200551062398,593,221,125,9
20260323200552062908,586,221,123,9
20260323200553063955,586,221,123,9
20260323200554065731,586,221,123,9
20260323200555066893,586,221,123,9
20260323200556067740,586,221,123,9
20260323200557069117,593,221,125,9
20260323200558075901,586,221,123,9
20260323200559071572,585,221,123,9
20260323200600073418,585,221,123,9
20260323200601074873,585,221,123,9
20260323200602075699,586,221,123,9
20260323200603077045,593,221,125,9
20260323200604078308,585,221,123,9
20260323200605078604,585,221,123,10
20260323200606084901,585,221,123,10
20260323200607083649,585,221,123,10
20260323200608087023,587,221,124,10
20260323200609087826,593,221,125,10
20260323200610088603,585,221,123,10
20260323200611089901,585,221,123,10
20260323200612090945,585,221,123,10
20260323200613091829,585,221,123,10
20260323200614095095,593,221,125,10
20260323200615094291,586,221,123,10
20260323200616095578,586,221,123,10
20260323200617097014,586,221,123,10
20260323200618098341,586,221,123,10
20260323200619098638,586,221,123,10
20260323200620099530,593,221,125,10
20260323200621099987,586,221,123,10
20260323200622104070,586,221,123,10
20260323200623102228,586,221,123,10
20260323200624103093,586,221,123,10
20260323200625103929,587,221,123,10
20260323200626104856,593,221,125,10
20260323200627105415,586,221,123,10
20260323200628107226,586,221,123,10
20260323200629107724,586,221,123,10
20260323200630110923,586,221,123,10
20260323200631109309,588,221,124,10
20260323200632110468,593,221,125,10
20260323200633112028,586,221,123,11
20260323200634114040,586,221,123,11
20260323200635116929,586,221,123,11
20260323200636117750,586,221,123,11
20260323200637118547,586,221,123,11
20260323200638130278,593,221,125,11
20260323200639121019,586,221,123,11
20260323200640122577,586,221,123,11
20260323200641123790,586,221,123,11
20260323200642125947,586,221,123,11
20260323200643125690,586,221,123,11
20260323200644126238,594,221,125,11
20260323200645129600,586,221,123,11
20260323200646133131,586,221,123,11
20260323200647129209,586,221,123,11
20260323200648635072,587,221,123,11
20260323200650020885,594,221,125,11
20260323200650911291,594,221,125,11
20260323200651906434,586,221,123,11
20260323200652908651,586,221,123,11
20260323200653916240,586,221,123,11
20260323200654914795,586,221,123,11
20260323200655910311,588,221,124,11
20260323200656913624,593,221,125,11
20260323200657915523,586,221,123,11
20260323200658914664,586,221,123,11
20260323200659920659,586,221,123,11
20260323200700927026,586,221,123,11
20260323200701919030,586,221,123,11
20260323200702921223,593,221,125,12
20260323200703921380,586,221,123,12
20260323200704925691,586,221,123,12
20260323200705925984,586,221,123,12
20260323200706925615,586,221,123,12
20260323200707925136,586,221,123,12
20260323200708927382,594,221,125,12
20260323200709929180,586,221,123,12
20260323200710929911,586,221,123,12
20260323200711931736,586,221,123,12
20260323200712934159,586,221,123,12
20260323200713934551,587,221,123,12
20260323200714935459,593,221,125,12
20260323200715936875,586,221,123,12
20260323200716938323,585,221,123,12
20260323200717941009,585,221,123,12
20260323200718945146,586,221,123,12
20260323200719943741,586,221,123,12
