13050,3
13056,14
13062,3
13063,6
13068,4
13069,8
13075,6
13076,2
13081,1
13082,6
13088,17
13094,10
13095,5
13100,4
13101,11
13107,6
13108,2
13113,4
13114,6
13120,10
13126,7
13127,5
13132,3
13133,7
13139,6
13140,1
13145,1
13146,1
13152,8
13158,7
13159,1
13164,3
13165,2
13171,8
13177,6
13178,6
13184,7
13190,9
13191,8
13196,2
13197,4
13203,5
13209,3
13210,4
13216,7
13222,3
13223,6
13228,3
13229,4
13235,4
13236,4
13241,2
13242,2
13248,9
13254,6
13255,2
13260,3
13261,4
13267,3
13268,1
13273,4
13274,9
13280,6
13286,7
13287,4
13293,3
13299,4
13300,2
13305,2
13306,5
13312,6
13318,4
13319,4
13324,1
13325,4
13331,14
13332,1
13337,2
13338,4
13344,10
13350,9
13351,6
13356,3
13357,7
13363,5
13364,2
13369,2
13370,5
13376,5
13382,4
13383,2
13388,1
13389,7
13395,7
13396,3
13401,3
13402,6
13408,9
13414,8
13415,11
13420,1
13421,10
13427,9
13428,3
13433,2
13434,4
13440,12
13446,4
13447,1
13452,2
13453,9
13459,6
13460,1
13465,1
13466,6
13472,10
13478,7
13479,4
13484,4
13485,3
13491,10
13492,1
13497,4
13498,9
13504,5
13510,3
13511,5
13516,3
13517,4
13523,11
13524,1
13530,6
13536,8
13542,3
13543,3
13548,1
13549,11
13555,8
13556,5
13561,2
13562,7
13568,8
13574,3
13575,4
13580,5
13581,15
13587,5
13588,3
13593,2
13594,3
13600,10
13606,8
13607,5
13612,1
13613,10
13619,7
13625,1
13626,7
13632,5
13638,5
13639,2
13644,1
13645,9
13651,5
13652,3
13657,2
13658,8
13664,3
13670,10
13671,7
13676,3
13677,8
13683,6
13684,1
13689,5
13690,4
13696,9
13702,2
13703,4
13708,3
13709,11
13715,6
13716,1
13721,2
13722,3
13728,5
13734,4
13735,3
13741,6
13747,4
13748,1
13753,1
13754,5
13760,5
13766,3
13772,2
13773,6
13779,2
13780,3
13785,3
13786,4
13792,4
13798,2
13799,3
13804,3
13805,4
13811,14
13812,2
13817,5
13818,6
13824,2
13830,1
13831,3
13837,8
13843,5
13849,1
13850,2
13856,8
13862,3
13863,3
13868,2
13869,5
13875,7
13876,1
13881,2
13882,5
13888,4
13894,5
13895,2
13901,4
13907,4
13908,1
13914,6
13920,4
13926,1
13927,2
13932,1
13933,6
13939,8
13940,1
13945,1
13946,2
13952,8
13958,3
13959,5
13964,1
13965,9
13971,7
13977,2
13978,4
13984,3
13990,3
13991,2
13996,2
13997,4
14003,2
14004,1
14009,1
14010,2
14016,1
14022,4
14029,2
14035,4
14036,1
14042,2
14048,2
14054,4
14055,5
14060,2
14061,2
14067,5
14073,2
14074,2
14080,2
14086,6
14087,2
14093,5
14099,2
14100,1
14105,2
14112,8
14119,2
14124,2
14125,3
14131,1
14132,1
14137,3
14138,2
14144,5
14150,2
14151,4
14157,6
14163,1
14164,1
14169,3
14170,1
14176,4
14182,3
14183,1
14189,2
14195,3
14196,1
14201,1
14202,2
14208,2
14214,3
14215,1
14220,2
14221,4
14233,2
14240,5
14246,1
14253,6
14259,5
14260,1
14266,2
14272,4
14278,2
14279,1
14285,3
14291,1
14297,2
14298,1
14311,1
14317,2
14323,2
14330,1
14336,1
14342,1
14349,1
14362,1
14368,4
14374,5
14381,1
14388,1
14400,3
14406,4
14407,1
14413,2
14419,3
14425,1
14426,3
14432,3
14438,3
14439,1
14451,4
14452,1
14458,3
14464,1
14471,1
14489,2
14496,3
14502,1
14509,1
14515,2
14522,1
14528,1
14535,1
14541,2
14547,1
14548,1
14554,2
14560,1
14566,1
14567,1
14573,3
14579,1
14592,2
14598,3
14611,3
14612,3
14643,1
14644,1
14656,2
14662,1
14663,1
14675,1
14688,1
14694,1
14708,1
14720,2
14726,1
14727,1
14752,1
14759,3
14771,3
14777,2
14784,2
14791,1
14797,1
14803,1
14829,1
14835,1
14842,1
14848,2
14854,1
14861,1
14873,2
14874,1
14880,1
14887,1
14893,1
14899,3
14912,1
14918,1
14924,1
14925,1
14931,3
14937,1
14938,1
14944,1
14956,1
14957,1
14963,1
14976,1
14982,1
14983,1
14989,1
15002,2
15008,1
15020,1
15021,4
15027,1
15040,2
15046,1
15059,1
15065,1
15066,2
15072,3
15085,1
15097,1
15098,1
15110,2
15117,1
15123,2
15130,1
15136,2
15149,1
15181,4
15187,1
15188,2
15194,1
15206,1
15207,1
15219,2
15220,1
15226,1
15232,2
15238,1
15245,2
15251,3
15270,1
15277,1
15283,1
15290,1
15296,1
15308,1
15309,1
15328,1
15353,1
15366,1
15367,1
15373,1
15392,1
15405,1
